Year,USA_male_count_thousands,USA_male_mean_income_current,USA_male_mean_income_2017currency,USA_female_count_thousands,USA_female_mean_income_current,USA_female_mean_income_2017currency,Northeast_male_count_thousands,Northeast_male_mean_income_current,Northeast_male_mean_income_2017currency,Northeast_female_count_thousands,Northeast_female_mean_income_current,Northeast_female_mean_income_2017currency,Midwest_male_count_thousands,Midwest_male_mean_income_current,Midwest_male_mean_income_2017currency,Midwest_female_count_thousands,Midwest_female_mean_income_current,Midwest_female_mean_income_2017currency,South_male_count_thousands,South_male_mean_income_current,South_male_mean_income_2017currency,South_female_count_thousands,South_female_mean_income_current,South_female_mean_income_2017currency,West_male_count_thousands,West_male_mean_income_current,West_male_mean_income_2017currency,West_female_count_thousands,West_female_mean_income_current,West_female_mean_income_2017currency
1996,"9,305","20,806","32,473","7,744","13,540","21,132","1,390","19,101","29,812","1,447","13,018","20,318",702,"22,497","35,112",529,"14,500","22,631","3,087","22,089","34,475","2,603","13,850","21,616","4,125","20,133","31,422","3,165","13,363","20,856"
1995 (25),"8,577","19,501","31,247","7,478","12,999","20,828","1,159","20,128","32,251","1,299","13,226","21,192",620,"22,764","36,475",495,"13,685","21,928","2,955","18,362","29,422","2,567","11,845","18,979","3,843","19,662","31,505","3,117","13,746","22,025"
1994 (24),"8,375","20,104","32,989","7,298","12,510","20,528","1,018","21,477","35,242","1,235","13,580","22,284",621,"22,084","36,238",477,"12,125","19,896","2,920","18,441","30,260","2,416","11,872","19,481","3,817","20,688","33,947","3,170","12,636","20,735"
1993 (23),"8,208","18,665","31,267","7,053","11,636","19,492","1,151","19,985","33,478","1,269","11,914","19,958",592,"18,915","31,686",481,"12,096","20,263","2,732","18,684","31,299","2,284","11,331","18,981","3,734","18,204","30,495","3,019","11,676","19,559"
1992 (22),"8,056","17,607","30,238","6,749","11,676","20,053","1,078","19,170","32,923","1,211","11,625","19,965",610,"18,158","31,185",516,"12,490","21,450","2,632","16,496","28,330","2,123","11,289","19,388","3,737","17,848","30,652","2,898","11,837","20,329"
1991,"6,939","17,936","31,569","6,084","11,004","19,368",968,"19,800","34,850","1,061","11,544","20,319",513,"18,996","33,435",403,"11,137","19,602","2,160","17,552","30,894","1,961","10,418","18,337","3,297","17,475","30,758","2,657","11,200","19,713"
1990,"6,767","17,452","31,835","5,903","10,587","19,312","1,002","19,563","35,686","1,104","10,968","20,007",455,"17,936","32,718",382,"11,842","21,602","2,100","16,926","30,876","1,876","9,952","18,154","3,210","17,069","31,136","2,541","10,701","19,520"
1989,"6,592","17,369","33,246","5,677","10,539","20,173",983,"19,163","36,680","1,027","11,216","21,469",456,"17,273","33,062",397,"11,905","22,787","2,046","16,635","31,841","1,823","9,616","18,406","3,108","17,299","33,112","2,430","10,723","20,525"
1988,"6,342","16,645","33,253","5,532","9,789","19,556",960,"18,933","37,824","1,046","10,515","21,007",466,"17,249","34,460",413,"10,324","20,625","2,029","15,282","30,530","1,794","9,239","18,458","2,887","16,746","33,455","2,279","9,792","19,562"
1987 (21),"6,102","16,203","33,539","5,357","9,298","19,246",947,"17,341","35,895","1,087","9,436","19,532",394,"16,481","34,115",330,"9,195","19,033","1,969","15,544","32,175","1,722","8,905","18,433","2,792","16,243","33,622","2,219","9,551","19,770"
1986,"5,870","14,884","31,869","5,096","8,667","18,557",926,"16,034","34,331","1,013","8,880","19,014",356,"15,807","33,845",320,"8,720","18,671","2,012","14,038","30,058","1,619","8,210","17,579","2,576","15,003","32,124","2,143","8,903","19,063"
1985 (20),"5,523","14,490","31,568","4,843","8,178","17,817",836,"14,811","32,268",965,"8,348","18,187",409,"14,711","32,050",326,"8,817","19,209","1,828","14,205","30,948","1,547","7,914","17,242","2,450","14,556","31,712","2,005","8,197","17,858"
1984 (19),"5,174","14,000","31,548","4,617","7,796","17,568",851,"13,725","30,928",965,"7,622","17,176",410,"14,594","32,887",322,"8,343","18,800","1,701","13,674","30,813","1,456","7,552","17,018","2,211","14,246","32,102","1,874","7,982","17,987"
1983,"4,236","13,450","31,570","4,098","7,199","16,898",645,"13,027","30,577",820,"6,820","16,008",332,"13,858","32,528",289,"7,651","17,958","1,433","13,499","31,685","1,328","7,058","16,567","1,827","13,486","31,654","1,662","7,420","17,416"
1982,"4,092","12,786","31,293","3,832","6,820","16,692",619,"12,125","29,675",742,"6,699","16,396",273,"14,878","36,413",246,"6,943","16,993","1,375","12,441","30,449","1,234","6,436","15,752","1,825","12,957","31,712","1,610","7,151","17,502"
1981,"4,131","12,324","31,984","3,787","6,389","16,581",644,"11,518","29,892",711,"6,428","16,682",310,"14,022","36,391",259,"6,375","16,545","1,449","12,157","31,551","1,256","6,073","15,761","1,728","12,460","32,337","1,561","6,629","17,204"
1980,"3,996","11,498","32,658","3,617","5,613","15,943",578,"11,903","33,808",665,"6,174","17,536",331,"12,242","34,771",257,"5,711","16,221","1,413","10,836","30,777","1,265","5,067","14,392","1,674","11,771","33,433","1,430","5,819","16,528"
1979 (18),"3,852","10,615","33,526","3,495","5,256","16,600",570,"10,468","33,062",682,"5,518","17,428",308,"11,242","35,506",247,"5,055","15,965","1,273","9,993","31,561","1,065","4,663","14,727","1,700","11,017","34,796","1,501","5,590","17,655"
1978,"3,447","9,777","33,807","2,949","4,798","16,591",536,"9,497","32,839",609,"5,125","17,722",315,"10,668","36,888",223,"4,741","16,394","1,156","8,989","31,083",922,"4,354","15,055","1,440","10,319","35,682","1,195","4,986","17,241"
1977,"3,376","8,927","32,985","2,780","4,488","16,583",544,"8,542","31,563",584,"4,757","17,577",311,"10,480","38,723",190,"5,039","18,619","1,101","8,205","30,317",875,"4,077","15,064","1,420","9,293","34,337","1,131","4,575","16,905"
1976 (17),"3,099","8,170","32,093","2,568","4,089","16,062",562,"7,715","30,306",578,"4,559","17,909",246,"9,177","36,049",196,"4,147","16,290",966,"7,780","30,561",778,"3,516","13,811","1,325","8,461","33,236","1,016","4,250","16,695"
1975 (16),"2,945","7,680","31,904","2,380","3,798","15,778",516,"7,572","31,456",537,"4,448","18,478",224,"8,964","37,238",169,"4,155","17,261",948,"7,298","30,317",689,"3,130","13,003","1,256","7,784","32,336",984,"3,852","16,002"
1974 (16)(15),"3,052","7,251","32,598","2,353","3,577","16,081",530,"7,549","33,938",490,"4,333","19,480",271,"8,554","38,456",163,"3,774","16,967",960,"6,842","30,759",729,"3,053","13,725","1,291","7,160","32,189",972,"3,557","15,991"
