Year,USA_male_count_thousands,USA_male_mean_income_current,USA_male_mean_income_2017currency,USA_female_count_thousands,USA_female_mean_income_current,USA_female_mean_income_2017currency,Northeast_male_count_thousands,Northeast_male_mean_income_current,Northeast_male_mean_income_2017currency,Northeast_female_count_thousands,Northeast_female_mean_income_current,Northeast_female_mean_income_2017currency,Midwest_male_count_thousands,Midwest_male_mean_income_current,Midwest_male_mean_income_2017currency,Midwest_female_count_thousands,Midwest_female_mean_income_current,Midwest_female_mean_income_2017currency,South_male_count_thousands,South_male_mean_income_current,South_male_mean_income_2017currency,South_female_count_thousands,South_female_mean_income_current,South_female_mean_income_2017currency,West_male_count_thousands,West_male_mean_income_current,West_male_mean_income_2017currency,West_female_count_thousands,West_female_mean_income_current,West_female_mean_income_2017currency
1996,"80,041","34,051","53,145","80,741","18,524","28,911","15,705","37,856","59,084","16,557","19,771","30,857","19,856","33,200","51,817","20,565","17,981","28,064","26,557","32,771","51,147","26,525","17,900","27,937","17,924","33,556","52,372","17,094","18,938","29,557"
1995 (25),"79,022","32,667","52,343","80,608","17,579","28,167","15,739","34,917","55,948","16,578","18,837","30,183","19,702","32,909","52,730","20,751","16,947","27,154","25,989","31,342","50,220","26,428","16,612","26,618","17,592","32,341","51,820","16,852","18,635","29,859"
1994 (24),"78,220","31,683","51,989","80,045","16,728","27,449","15,801","35,182","57,730","16,691","18,029","29,584","19,418","29,999","49,226","20,359","16,425","26,952","25,646","30,413","49,905","26,125","15,753","25,849","17,354","32,258","52,932","16,869","17,314","28,411"
1993 (23),"77,650","30,171","50,542","79,484","16,015","26,828","15,789","32,519","54,475","16,975","17,253","28,902","19,244","28,628","47,957","20,041","15,110","25,312","25,306","28,981","48,548","25,632","15,276","25,590","17,311","31,483","52,740","16,837","16,967","28,423"
1992 (22),"77,467","27,971","48,038","78,885","15,194","26,094","15,903","29,698","51,004","16,997","16,219","27,855","19,346","27,349","46,970","20,053","14,210","24,404","25,029","26,651","45,771","25,249","14,677","25,206","17,188","28,994","49,795","16,585","16,121","27,686"
1991,"76,578","27,499","48,401","78,721","14,672","25,824","15,960","29,525","51,967","17,112","15,623","27,498","19,348","26,552","46,735","20,310","13,886","24,441","24,585","26,144","46,016","25,108","14,150","24,906","16,684","28,657","50,440","16,191","15,464","27,218"
1990,"76,480","27,142","49,511","78,566","14,138","25,790","16,046","29,206","53,276","17,079","15,180","27,691","19,416","26,366","48,096","20,450","13,609","24,825","24,442","25,713","46,904","24,926","13,430","24,498","16,576","28,158","51,365","16,111","14,801","26,999"
1989,"75,858","26,899","51,487","77,933","13,379","25,609","16,176","29,420","56,313","17,005","14,558","27,866","19,341","25,692","49,177","20,185","12,514","23,953","24,111","25,856","49,491","24,794","12,797","24,495","16,230","27,374","52,397","15,950","14,123","27,033"
1988,"75,247","25,034","50,013","77,493","12,511","24,994","16,012","27,193","54,326","17,385","13,229","26,429","19,396","23,980","47,907","20,228","11,693","23,360","24,181","24,055","48,057","24,451","12,102","24,177","15,658","25,642","51,227","15,428","13,421","26,812"
1987 (21),"74,647","23,773","49,209","76,940","11,738","24,297","16,063","25,037","51,825","17,265","12,258","25,373","19,128","22,884","47,369","19,972","10,886","22,534","23,746","23,061","47,735","24,205","11,497","23,798","15,710","24,640","51,004","15,498","12,635","26,154"
1986,"73,827","22,746","48,703","75,587","10,867","23,268","15,961","23,977","51,339","16,969","11,418","24,448","18,862","21,703","46,470","19,896","10,039","21,495","23,804","22,097","47,313","23,730","10,646","22,795","15,201","23,761","50,876","14,993","11,693","25,037"
1985 (20),"73,222","21,523","46,891","74,640","10,317","22,477","15,745","22,723","49,505","16,905","10,659","23,222","18,946","20,399","44,442","19,498","9,644","21,011","23,469","20,895","45,523","23,559","9,995","21,775","15,062","22,664","49,377","14,678","11,335","24,695"
1984 (19),"72,162","20,259","45,652","73,977","9,682","21,818","15,624","20,756","46,772","16,857","9,809","22,104","18,955","19,347","43,597","19,492","9,021","20,328","23,029","20,102","45,299","23,149","9,644","21,732","14,554","21,161","47,685","14,478","10,483","23,623"
1983,"71,444","18,823","44,181","72,796","8,885","20,855","15,596","19,178","45,015","16,583","8,896","20,881","18,903","18,270","42,883","19,384","8,373","19,653","22,812","18,487","43,393","22,680","8,864","20,806","14,133","19,712","46,268","14,150","9,605","22,545"
1982,"70,477","18,071","44,228","71,624","8,295","20,302","15,477","17,994","44,040","16,413","8,233","20,150","19,005","17,615","43,112","19,243","7,826","19,154","22,132","17,952","43,937","22,097","8,297","20,307","13,862","18,971","46,431","13,872","9,015","22,064"
1981,"70,351","17,195","44,625","71,566","7,519","19,514","15,729","17,085","44,340","16,340","7,464","19,371","18,819","16,896","43,849","19,365","7,177","18,626","21,963","16,966","44,031","22,073","7,462","19,366","13,840","18,089","46,946","13,788","8,154","21,162"
1980,"69,420","15,967","45,351","70,573","6,817","19,362","15,472","16,069","45,641","16,097","6,754","19,183","18,590","15,886","45,121","19,411","6,594","18,729","21,790","15,305","43,471","21,323","6,649","18,885","13,568","17,022","48,347","13,743","7,468","21,211"
1979 (18),"69,247","14,874","46,977","69,839","6,063","19,149","15,375","14,893","47,037","16,248","6,162","19,462","18,834","14,915","47,107","19,034","5,869","18,536","21,574","14,242","44,981","21,067","5,810","18,350","13,464","15,809","49,930","13,490","6,610","20,877"
